"","gene_id","gene_symbol"
"1","ENSMUSG00000000001.4","Gnai3"
"2","ENSMUSG00000000003.15","Pbsn"
"3","ENSMUSG00000000028.15","Cdc45"
"4","ENSMUSG00000000031.16","H19"
"5","ENSMUSG00000000037.17","Scml2"
"6","ENSMUSG00000000049.11","Apoh"
"7","ENSMUSG00000000056.7","Narf"
"8","ENSMUSG00000000058.6","Cav2"
"9","ENSMUSG00000000078.7","Klf6"
"10","ENSMUSG00000000085.16","Scmh1"
"11","ENSMUSG00000000088.7","Cox5a"
"12","ENSMUSG00000000093.6","Tbx2"
"13","ENSMUSG00000000094.12","Tbx4"
"14","ENSMUSG00000000103.12","Zfy2"
"15","ENSMUSG00000000120.6","Ngfr"
"16","ENSMUSG00000000125.5","Wnt3"
"17","ENSMUSG00000000126.11","Wnt9a"
"18","ENSMUSG00000000127.15","Fer"
"19","ENSMUSG00000000131.15","Xpo6"
"20","ENSMUSG00000000134.17","Tfe3"
"21","ENSMUSG00000000142.15","Axin2"
"22","ENSMUSG00000000148.17","Brat1"
"23","ENSMUSG00000000149.10","Gna12"
"24","ENSMUSG00000000154.16","Slc22a18"
"25","ENSMUSG00000000157.16","Itgb2l"
"26","ENSMUSG00000000159.16","Igsf5"
"27","ENSMUSG00000000167.14","Pih1d2"
"28","ENSMUSG00000000168.9","Dlat"
"29","ENSMUSG00000000171.5","Sdhd"
"30","ENSMUSG00000000182.9","Fgf23"
"31","ENSMUSG00000000183.6","Fgf6"
"32","ENSMUSG00000000184.12","Ccnd2"
"33","ENSMUSG00000000194.13","Gpr107"
"34","ENSMUSG00000000197.8","Nalcn"
"35","ENSMUSG00000000202.9","Btbd17"
"36","ENSMUSG00000000204.16","Slfn4"
"37","ENSMUSG00000000214.11","Th"
"38","ENSMUSG00000000215.11","Ins2"
"39","ENSMUSG00000000216.8","Scnn1g"
"40","ENSMUSG00000000223.13","Drp2"
"41","ENSMUSG00000000244.17","Tspan32"
"42","ENSMUSG00000000247.11","Lhx2"
"43","ENSMUSG00000000248.16","Clec2g"
"44","ENSMUSG00000000253.13","Gmpr"
"45","ENSMUSG00000000263.15","Glra1"
"46","ENSMUSG00000000266.11","Mid2"
"47","ENSMUSG00000000275.16","Trim25"
"48","ENSMUSG00000000276.11","Dgke"
"49","ENSMUSG00000000278.10","Scpep1"
